#Taxa	NovC1	NovC2	NovC3	NovC4	NovC5	NovC6	NovC7	NovC8	NovC9	NovC10	JanC1	JanC2	JanC3	JanC4	JanC5	JanC6	JanC7	JanC8	JanC9	MarC1	MarC2	MarC3	MarC5	MarC6	MarC7	MarC8	MarC9	Taxonomy
OTU_1	1181	140	484	393	1521	628	944	662	1285	274	2992	1916	3838	1385	3222	6259	6299	2224	1693	657	367	2448	1920	2645	1303	931	1124	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__unidentified_Bacteroidales;g__unidentified_Bacteroidales;s__rumen_bacterium_YS3
OTU_2	3	22	8	27	1094	67	21	355	19	133	1199	15	188	2649	19	83	82	20	133	3538	3337	9	50	922	106	4684	9817	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__;s__
OTU_3	14	29	3	1960	327	255	45	37	7	431	244	304	5707	4805	925	120	511	2033	1286	421	3336	17	759	258	52	3108	154	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Ruminobacter
OTU_4	35	234	1281	920	342	1242	1044	38	1545	624	251	639	517	311	2073	515	846	389	631	23	1542	1160	11	293	2100	604	14	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__unidentified_Rikenellaceae
OTU_5	51	793	86	227	616	221	640	733	419	324	515	905	584	857	981	443	834	311	826	333	632	255	154	172	721	335	217	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_6	1813	687	305	110	596	327	1045	945	839	393	455	259	298	189	360	234	292	471	244	311	352	382	220	275	424	779	196	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_7	1985	128	79	62	765	58	819	512	45	1740	204	830	453	771	641	349	596	304	374	645	252	1056	988	1536	1410	745	215	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_8	0	0	0	0	0	0	0	5	0	0	0	0	20	1	3	490	0	174	5	1290	2576	1965	857	792	208	2538	4299	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinivibrio;s__
OTU_9	2	17	31	72	11	32	359	1	5	15	103	379	72	47	300	19	129	28	290	4015	243	354	3673	37	341	576	266	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
OTU_10	1201	473	528	678	733	267	265	632	247	930	712	1006	585	843	742	636	526	697	485	470	427	663	713	564	194	540	443	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae;s__Prevotella_ruminicola
OTU_11	681	107	196	199	181	465	133	327	57	715	299	188	164	285	222	368	81	217	169	370	257	290	630	239	472	211	140	k__Bacteria;p__Gracilibacteria
OTU_12	173	349	405	228	449	437	493	247	469	645	194	80	67	131	375	163	342	541	117	460	823	318	453	467	748	109	77	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_13	796	1439	1188	215	835	230	252	1063	137	246	311	260	162	199	128	438	213	157	171	197	164	398	238	919	329	217	247	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_14	102	165	605	4512	273	65	59	166	394	277	86	142	261	255	217	248	1083	427	242	145	108	381	231	93	205	94	529	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_15	16	20	110	98	35	81	58	15	107	71	161	128	105	88	119	99	175	163	171	9	75	32	9	18	46	58	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__
OTU_16	289	212	42	139	155	13	112	289	136	96	810	172	79	172	718	323	332	519	399	214	146	300	317	112	402	665	334	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_17	427	255	269	116	22	55	23	1180	148	155	392	157	44	137	498	303	8	188	127	413	154	689	410	517	736	315	262	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
OTU_18	202	186	201	15	113	17	298	74	68	145	765	306	222	168	974	812	261	289	121	113	376	130	65	320	1243	544	221	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_19	160	12	163	108	299	243	133	300	131	157	308	180	138	129	118	291	211	81	326	71	135	120	48	61	16	121	33	k__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__;g__;s__
OTU_20	123	37	201	63	50	24	64	94	52	41	38	23	40	49	30	34	27	42	28	95	34	147	184	253	43	90	196	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__unidentified_Veillonellaceae;s__Selenomonas_ruminantium
OTU_21	111	955	341	532	32	38	341	64	228	136	321	115	49	187	40	167	73	227	494	62	43	324	27	24	72	31	53	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_22	356	197	209	512	189	163	147	114	233	210	354	479	266	204	1144	640	705	727	420	255	46	143	231	254	21	44	98	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae
OTU_23	250	73	238	273	2	391	390	90	160	173	447	69	94	127	77	125	16	56	301	176	82	299	76	90	172	191	203	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
OTU_24	98	728	104	157	121	273	113	42	342	265	78	138	110	76	317	406	131	247	93	59	326	88	127	113	79	60	62	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_25	67	267	46	51	32	111	147	18	155	77	83	163	53	71	182	131	142	121	88	99	135	150	122	113	71	187	58	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__
OTU_26	5	0	32	0	485	2	74	0	1	2	32	65	39	109	35	214	0	13	10	37	13	150	37	129	9	21	6	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_27	13	122	552	786	61	0	35	648	80	132	27	4	49	113	30	67	4	44	103	8	8	61	13	159	8	53	2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_28	401	432	169	1773	107	107	140	298	637	143	547	385	234	486	189	492	369	181	446	286	88	231	200	376	221	192	497	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae;s__Alloprevotella_sp_feline_oral_taxon_309
OTU_29	1	59	197	37	96	143	260	76	80	6	30	615	18	43	11	90	40	353	206	299	285	237	243	6	396	319	54	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_30	403	2	888	424	327	112	594	95	298	198	598	35	522	22	218	171	655	102	336	53	74	308	60	869	406	1488	61	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_31	2	4	438	9	252	227	17	115	455	8	11	123	13	32	116	13	16	719	31	78	53	208	337	19	232	220	4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae;s__Alloprevotella_sp_feline_oral_taxon_309
OTU_32	90	171	343	140	104	144	204	56	254	380	83	66	57	83	76	72	94	93	76	301	425	254	279	175	217	132	110	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_33	79	110	205	97	112	418	242	59	263	203	252	259	163	97	243	232	158	180	214	86	104	123	93	73	150	70	32	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Saccharofermentans
OTU_34	190	68	239	11	3	40	59	827	744	19	50	182	290	38	47	125	4	13	3	123	15	248	17	13	29	91	31	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
OTU_35	40	20	85	0	565	32	79	16	1	42	4	158	42	11	51	4	11	3	5	3	384	10	64	2	1092	188	4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_36	43	153	39	63	59	131	145	20	263	67	46	37	44	22	100	69	70	62	53	110	101	101	87	101	53	24	35	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Papillibacter;s__
OTU_37	0	1	696	1	2	120	4	16	192	19	308	453	151	153	130	28	610	1321	43	314	50	36	142	81	205	165	7	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_38	4	2	0	22	0	0	1	54	120	0	3	5	0	0	3	0	0	0	0	0	0	0	5	0	0	3	50	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_39	676	87	147	214	690	128	2148	342	720	245	195	36	42	36	34	26	65	5	229	16	93	54	152	75	271	19	102	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_40	1892	707	229	251	243	2030	1027	1527	183	400	148	286	232	145	397	221	168	147	102	139	163	217	364	164	150	79	309	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__unidentified_Bacteroidales;g__unidentified_Bacteroidales;s__Bacteroidia_bacterium_feline_oral_taxon_141
OTU_41	25	54	56	54	31	86	57	31	80	54	66	100	72	57	189	104	208	128	94	24	102	31	23	35	35	27	5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__unidentified_Lachnospiraceae;s__Butyrivibrio_fibrisolvens
OTU_42	40	91	258	97	40	142	112	35	158	83	145	313	178	180	634	291	384	475	247	77	107	36	85	101	73	56	48	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__unidentified_Ruminococcaceae;s__rumen_bacterium_NK4A214
OTU_43	82	25	99	23	60	19	21	123	45	171	111	516	331	42	180	354	77	31	125	249	23	73	40	379	30	49	58	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_44	9	130	94	44	8	49	216	55	29	18	94	44	13	53	127	18	58	59	39	224	132	167	164	299	284	27	50	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__unidentified_Bacteroidales;g__unidentified_Bacteroidales;s__Bacteroidia_bacterium_feline_oral_taxon_141
OTU_45	11	656	9	5	304	163	17	2495	5	242	78	109	36	53	23	3	8	5	10	40	46	27	0	0	23	4	92	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_46	52	65	87	73	50	125	20	50	25	56	46	45	67	47	60	65	50	68	57	1120	92	307	153	236	336	75	195	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas
OTU_47	76	177	40	68	232	178	241	326	186	42	124	61	56	10	19	78	283	26	119	448	77	153	31	20	211	47	52	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_48	101	82	97	109	549	289	37	412	57	91	22	25	26	81	26	329	85	68	97	28	34	35	47	127	2	47	50	k__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__;f__;g__;s__
OTU_49	600	5	2	15	361	13	52	441	7	2	41	44	122	782	78	570	192	311	41	242	200	93	42	6	189	11	255	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__unidentified_Bacteroidales;g__unidentified_Bacteroidales;s__Bacteroidia_bacterium_feline_oral_taxon_141
OTU_50	32	26	2	159	28	6	0	1	1236	17	49	13	8	300	6	6	3	2	7	19	0	519	0	0	2	2	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
OTU_51	131	600	408	132	38	76	45	1105	55	85	140	337	55	81	201	132	52	169	70	65	28	147	223	95	85	72	46	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_52	52	105	31	13	62	327	25	30	4	24	100	81	11	228	20	18	19	13	62	0	58	0	1	0	111	8	57	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_53	51	38	18	1	76	66	28	19	60	1372	208	24	8	18	23	45	16	26	39	17	11	108	34	106	34	58	13	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__
OTU_54	62	142	96	83	64	112	169	215	16	208	161	50	63	228	129	95	100	204	52	103	89	135	184	61	271	95	160	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_55	6	60	61	1	9	51	15	17	87	34	12	36	3	10	116	16	43	50	29	86	122	38	259	155	79	50	11	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_56	12	18	109	2	2356	25	35	74	11	10	69	83	24	16	6	37	27	79	1	185	4	23	26	24	21	30	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_57	97	64	152	140	123	13	10	101	11	113	157	179	120	77	46	159	55	96	336	209	61	154	68	134	92	90	93	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio_dextrinosolvens
OTU_58	45	47	3	236	10	8	36	17	26	71	194	150	77	77	32	52	22	52	66	52	150	21	76	5	399	166	115	k__Bacteria;p__Gracilibacteria;c__unidentified_Gracilibacteria;o__unidentified_Gracilibacteria;f__unidentified_Gracilibacteria;g__unidentified_Gracilibacteria
OTU_59	1518	3	1	543	3	1	1258	0	1	348	11	29	0	11	6	2	26	0	2	2	20	0	64	4	19	2	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae;s__Alloprevotella_sp_feline_oral_taxon_309
OTU_60	10	0	418	68	9	46	161	40	20	6	72	16	7	61	13	39	7	185	122	35	23	163	29	4	227	77	21	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_61	52	65	48	59	125	46	25	40	80	98	48	42	35	84	47	65	109	73	76	146	86	94	180	102	29	78	77	k__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__;f__;g__;s__
OTU_62	0	2	0	42	6	54	5	7	2	17	29	7	9	42	14	6	30	8	28	26	10	23	247	0	56	14	76	k__Bacteria;p__Gracilibacteria
OTU_63	50	17	32	2	19	21	35	15	87	23	192	130	312	150	106	134	219	197	163	260	48	124	96	171	27	61	35	k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter_sp
OTU_64	13	19	48	69	22	77	113	11	226	40	28	28	12	23	17	27	102	18	55	17	25	12	32	32	44	21	6	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__unidentified_Ruminococcaceae;s__Ruminococcus_flavefaciens
OTU_65	43	194	114	53	16	153	150	46	249	52	49	31	18	36	18	43	54	59	28	173	113	107	153	49	150	44	92	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_66	114	136	74	210	128	157	84	166	97	99	66	155	42	115	33	164	204	124	126	25	26	214	69	35	44	112	64	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae;s__Prevotella_brevis
OTU_67	11	5	20	3	33	24	5	117	3	22	175	59	5	3	32	41	4	4	172	10	5	105	18	2	33	5	16	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_68	29	221	38	30	13	33	113	96	18	95	9	50	13	39	54	49	38	31	59	176	27	37	43	82	18	48	56	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__unidentified_Ruminococcaceae;s__Oscillibacter_sp_ER4
OTU_69	14	11	0	15	9	13	122	224	8	71	56	3	268	84	56	79	33	361	35	22	42	404	274	217	229	114	49	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_70	0	78	0	1	2	0	97	5	89	43	100	132	158	28	9	4	84	31	40	65	11	23	12	8	118	104	31	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
