,NovC1,NovC2,NovC3,NovC4,NovC5,NovC6,NovC7,NovC8,NovC9,NovC10,JanC1,JanC2,JanC3,JanC4,JanC5,JanC6,JanC7,JanC8,JanC9,MarC1,MarC2,MarC3,MarC5,MarC6,MarC7,MarC8,MarC9
NovC1,0,0.00464879605903533,0.0110900718899122,0.00469691033145679,0.0058326255046895,0.00675246653514225,0.00562268970352478,0.00478451298189145,0.00466265455683935,0.00663863547234035,0.00698712578161197,0.00716259695522729,0.0298778617633245,0.00797652445844712,0.00532147225446246,0.00621843601318821,0.00765065297563004,0.0147240561566175,0.00667517791974991,0.00707886204958474,0.00788230837303213,0.00870837663443637,0.00641230113691202,0.0072469828773089,0.00838847616708464,0.00542008170921318,0.00890644369641227
NovC2,0.00464879605903533,0,0.00395957669448546,0.00570547543960119,0.00304322836230931,0.00340017419830515,0.0040421891560841,0.00199752181067024,0.00267092683484491,0.00541075662651292,0.00446212324079644,0.00389877799092529,0.00530595347057137,0.00806899591716388,0.00382309417612312,0.00621700380523428,0.00360347075847067,0.00455873274685688,0.00902228184415483,0.00516122522245896,0.0055850778592329,0.00633338497952678,0.00424929502585794,0.00594837484967471,0.00494539387679047,0.00511293985200237,0.00686837635163652
NovC3,0.0110900718899122,0.00395957669448546,0,0.00607453982434292,0.0025836775404388,0.00359548951965951,0.00442964699951779,0.00413699070699233,0.00399937641800779,0.00275771611071236,0.00552247894094086,0.0048081838540233,0.00566027637072737,0.00962657584030108,0.00425895214318404,0.00446174600582591,0.0037346878431783,0.00557574146683185,0.00690774342207532,0.0101360752762357,0.00640461500867898,0.00597445671401357,0.00499982547808988,0.00950304400683886,0.00588518298809716,0.00625318107103662,0.00779066791881026
NovC4,0.00469691033145679,0.00570547543960119,0.00607453982434292,0,0.00495269445835586,0.00657503062116447,0.0044590202570029,0.00400931027436996,0.00452281720629225,0.00354400131078368,0.00441311636240546,0.00579525060828854,0.00473873471201723,0.00700179014288463,0.00452325674756325,0.00657772024136715,0.00465175939650466,0.00482854314177767,0.005459155268985,0.00782873002547345,0.00707089183033793,0.0105158092911042,0.00531208885634242,0.00646053247782456,0.00670378339197043,0.00549196184252257,0.00632527614283732
NovC5,0.0058326255046895,0.00304322836230931,0.0025836775404388,0.00495269445835586,0,0.00323475171188354,0.0037974858108358,0.0021193811430406,0.00401347273590591,0.00237680975547418,0.00324587849989441,0.00457853035392032,0.00294899134058201,0.00691853263639361,0.00307056353470276,0.00413039563760355,0.00324063332710399,0.00344151556095694,0.00452758318742126,0.00668560537834718,0.00536748871545058,0.00372269468364265,0.00328879090201608,0.00622120251772806,0.00452287828442097,0.00369553874582447,0.00741484263924826
NovC6,0.00675246653514225,0.00340017419830515,0.00359548951965951,0.00657503062116447,0.00323475171188354,0,0.0026128062781486,0.00385737114010814,0.0038043341273483,0.00172743342949129,0.0042917163466675,0.00543115043459599,0.00489481927066922,0.00844272653522425,0.00412692485885164,0.00496332274673292,0.00308396918704808,0.0043594339708097,0.0090646760493369,0.00808852709744932,0.00516741876494507,0.00745683554047672,0.00493410954870061,0.00776024506045406,0.00528897053722369,0.00521677585630507,0.0101558449456498
NovC7,0.00562268970352478,0.0040421891560841,0.00442964699951779,0.0044590202570029,0.0037974858108358,0.0026128062781486,0,0.00548384812139516,0.0045160230437573,0.00216582734046502,0.00439422923864939,0.00487308953026093,0.00686400028187668,0.0068407164512308,0.00456258333558061,0.00647615003795195,0.00297230351351657,0.00687785016175061,0.00792889278964121,0.00639479225114817,0.00577587630679042,0.0101400620005634,0.00515254804036437,0.00520686406895818,0.00510847331274809,0.00498627889115459,0.00689350415590022
NovC8,0.00478451298189145,0.00199752181067024,0.00413699070699233,0.00400931027436996,0.0021193811430406,0.00385737114010814,0.00548384812139516,0,0.00371497924196297,0.0020468918879665,0.00543966843803897,0.00442852602331749,0.00580206575678059,0.0073302604785436,0.00316326735666933,0.00447072860380893,0.00329243949282354,0.005633837556361,0.00365528152912221,0.00408597096289588,0.00395834470584204,0.00520610927859776,0.00655308265712526,0.00840407466663241,0.00392744727967167,0.00238998012086492,0.00263464896619602
NovC9,0.00466265455683935,0.00267092683484491,0.00399937641800779,0.00452281720629225,0.00401347273590591,0.0038043341273483,0.0045160230437573,0.00371497924196297,0,0.00406828134516197,0.00387923369159929,0.00531578970784476,0.005765973738641,0.00817282157833687,0.00329737008261002,0.00620892430812715,0.00355606581920502,0.00415305812625084,0.00600972639840737,0.00538452048459946,0.00780325813543318,0.00698305333447269,0.00402327885888121,0.00633753472250434,0.00466999796095452,0.00507845077786259,0.00766301301103854
NovC10,0.00663863547234035,0.00541075662651292,0.00275771611071236,0.00354400131078368,0.00237680975547418,0.00172743342949129,0.00216582734046502,0.0020468918879665,0.00406828134516197,0,0.00290475587673694,0.00492842268377446,0.00916254699577239,0.00840478752903399,0.00483329984805107,0.00527345755733013,0.00563589518801144,0.00364089023536269,0.00452524811427743,0.00616328956588758,0.00413689315685292,0.008543881145758,0.00358431305880559,0.00543164151169588,0.0042087423656777,0.00448480647665763,0.0064954931136789
